"Statistic Label","Census Year","Sex","County of Usual Residence","UNIT","VALUE"
"Ability to speak Irish - Not stated","2022","Male","Cork City and Cork County","Number","17097"
"Ability to speak Irish - Not stated","2022","Male","Kerry","Number","4400"
"Ability to speak Irish - Not stated","2022","Male","Limerick City and County","Number","10203"
"Ability to speak Irish - Not stated","2022","Male","Tipperary","Number","4585"
"Ability to speak Irish - Not stated","2022","Male","Waterford City and County","Number","4412"
"Ability to speak Irish - Not stated","2022","Male","Galway City","Number","4677"
"Ability to speak Irish - Not stated","2022","Male","Galway County","Number","4733"
"Ability to speak Irish - Not stated","2022","Male","Leitrim","Number","833"
"Ability to speak Irish - Not stated","2022","Male","Mayo","Number","3223"
"Ability to speak Irish - Not stated","2022","Male","Roscommon","Number","1798"
"Ability to speak Irish - Not stated","2022","Male","Sligo","Number","2027"
"Ability to speak Irish - Not stated","2022","Male","Cavan","Number","2364"
"Ability to speak Irish - Not stated","2022","Male","Donegal","Number","3988"
"Ability to speak Irish - Not stated","2022","Male","Monaghan","Number","1448"
"Ability to speak Irish - Not stated","2022","Female","State","Number","166177"
"Ability to speak Irish - Not stated","2022","Female","Carlow","Number","1902"
"Ability to speak Irish - Not stated","2022","Female","Dublin City","Number","37697"
"Ability to speak Irish - Not stated","2022","Female","Dún Laoghaire-Rathdown","Number","4007"
"Ability to speak Irish - Not stated","2022","Female","Fingal","Number","11305"
"Ability to speak Irish - Not stated","2022","Female","South Dublin","Number","9906"
"Ability to speak Irish - Not stated","2022","Female","Kildare","Number","5559"
"Ability to speak Irish - Not stated","2022","Female","Kilkenny","Number","2381"
"Ability to speak Irish - Not stated","2022","Female","Laois","Number","2207"
"Ability to speak Irish - Not stated","2022","Female","Longford","Number","2785"
"Ability to speak Irish - Not stated","2022","Female","Louth","Number","4665"
"Ability to speak Irish - Not stated","2022","Female","Meath","Number","4538"
"Ability to speak Irish - Not stated","2022","Female","Offaly","Number","2202"
"Ability to speak Irish - Not stated","2022","Female","Westmeath","Number","3404"
"Ability to speak Irish - Not stated","2022","Female","Wexford","Number","4067"
"Ability to speak Irish - Not stated","2022","Female","Wicklow","Number","3596"
"Ability to speak Irish - Not stated","2022","Female","Clare","Number","4283"
"Ability to speak Irish - Not stated","2022","Female","Cork City and Cork County","Number","15644"
"Ability to speak Irish - Not stated","2022","Female","Kerry","Number","4237"
"Ability to speak Irish - Not stated","2022","Female","Limerick City and County","Number","9488"
"Ability to speak Irish - Not stated","2022","Female","Tipperary","Number","4258"
"Ability to speak Irish - Not stated","2022","Female","Waterford City and County","Number","4251"
"Ability to speak Irish - Not stated","2022","Female","Galway City","Number","4631"
"Ability to speak Irish - Not stated","2022","Female","Galway County","Number","4457"
"Ability to speak Irish - Not stated","2022","Female","Leitrim","Number","795"
"Ability to speak Irish - Not stated","2022","Female","Mayo","Number","3031"
"Ability to speak Irish - Not stated","2022","Female","Roscommon","Number","1620"
"Ability to speak Irish - Not stated","2022","Female","Sligo","Number","1981"
"Ability to speak Irish - Not stated","2022","Female","Cavan","Number","2120"
"Ability to speak Irish - Not stated","2022","Female","Donegal","Number","3839"
"Ability to speak Irish - Not stated","2022","Female","Monaghan","Number","1321"
"Irish speakers as a percentage of total","2022","Both sexes","State","%","40.4"
"Irish speakers as a percentage of total","2022","Both sexes","Carlow","%","38.3"
"Irish speakers as a percentage of total","2022","Both sexes","Dublin City","%","32.7"
"Irish speakers as a percentage of total","2022","Both sexes","Dún Laoghaire-Rathdown","%","42.9"
"Irish speakers as a percentage of total","2022","Both sexes","Fingal","%","38.4"
"Irish speakers as a percentage of total","2022","Both sexes","South Dublin","%","36.3"
"Irish speakers as a percentage of total","2022","Both sexes","Kildare","%","42.1"
"Irish speakers as a percentage of total","2022","Both sexes","Kilkenny","%","42.8"
"Irish speakers as a percentage of total","2022","Both sexes","Laois","%","40.2"
"Irish speakers as a percentage of total","2022","Both sexes","Longford","%","38"
"Irish speakers as a percentage of total","2022","Both sexes","Louth","%","35.2"
"Irish speakers as a percentage of total","2022","Both sexes","Meath","%","39.8"
"Irish speakers as a percentage of total","2022","Both sexes","Offaly","%","37.3"
"Irish speakers as a percentage of total","2022","Both sexes","Westmeath","%","39.1"
"Irish speakers as a percentage of total","2022","Both sexes","Wexford","%","36.7"
"Irish speakers as a percentage of total","2022","Both sexes","Wicklow","%","39"
"Irish speakers as a percentage of total","2022","Both sexes","Clare","%","47.1"
"Irish speakers as a percentage of total","2022","Both sexes","Cork City and Cork County","%","44.8"
"Irish speakers as a percentage of total","2022","Both sexes","Kerry","%","44"
"Irish speakers as a percentage of total","2022","Both sexes","Limerick City and County","%","42.7"
"Irish speakers as a percentage of total","2022","Both sexes","Tipperary","%","43"
"Irish speakers as a percentage of total","2022","Both sexes","Waterford City and County","%","41.9"
"Irish speakers as a percentage of total","2022","Both sexes","Galway City","%","45"
"Irish speakers as a percentage of total","2022","Both sexes","Galway County","%","50.3"
"Irish speakers as a percentage of total","2022","Both sexes","Leitrim","%","40.7"
"Irish speakers as a percentage of total","2022","Both sexes","Mayo","%","44.3"
"Irish speakers as a percentage of total","2022","Both sexes","Roscommon","%","41.7"
"Irish speakers as a percentage of total","2022","Both sexes","Sligo","%","41.5"
"Irish speakers as a percentage of total","2022","Both sexes","Cavan","%","35.9"
"Irish speakers as a percentage of total","2022","Both sexes","Donegal","%","38.5"
"Irish speakers as a percentage of total","2022","Both sexes","Monaghan","%","39.3"
"Irish speakers as a percentage of total","2022","Male","State","%","37"
"Irish speakers as a percentage of total","2022","Male","Carlow","%","33.8"
"Irish speakers as a percentage of total","2022","Male","Dublin City","%","30"
"Irish speakers as a percentage of total","2022","Male","Dún Laoghaire-Rathdown","%","40.5"
"Irish speakers as a percentage of total","2022","Male","Fingal","%","35.9"
"Irish speakers as a percentage of total","2022","Male","South Dublin","%","33.7"
"Irish speakers as a percentage of total","2022","Male","Kildare","%","38.4"
"Irish speakers as a percentage of total","2022","Male","Kilkenny","%","38.6"
"Irish speakers as a percentage of total","2022","Male","Laois","%","35.4"
"Irish speakers as a percentage of total","2022","Male","Longford","%","34"
"Irish speakers as a percentage of total","2022","Male","Louth","%","32.1"
"Irish speakers as a percentage of total","2022","Male","Meath","%","36"
"Irish speakers as a percentage of total","2022","Male","Offaly","%","32.7"
"Irish speakers as a percentage of total","2022","Male","Westmeath","%","35.3"
"Irish speakers as a percentage of total","2022","Male","Wexford","%","32.7"
"Irish speakers as a percentage of total","2022","Male","Wicklow","%","35.4"
"Irish speakers as a percentage of total","2022","Male","Clare","%","43.6"
"Irish speakers as a percentage of total","2022","Male","Cork City and Cork County","%","41.5"
"Irish speakers as a percentage of total","2022","Male","Kerry","%","40.1"
"Irish speakers as a percentage of total","2022","Male","Limerick City and County","%","39"
"Irish speakers as a percentage of total","2022","Male","Tipperary","%","39.1"
"Irish speakers as a percentage of total","2022","Male","Waterford City and County","%","38.5"
"Irish speakers as a percentage of total","2022","Male","Galway City","%","41.9"
"Irish speakers as a percentage of total","2022","Male","Galway County","%","46.9"
"Irish speakers as a percentage of total","2022","Male","Leitrim","%","36.5"
"Irish speakers as a percentage of total","2022","Male","Mayo","%","39.9"
"Irish speakers as a percentage of total","2022","Male","Roscommon","%","37.2"
"Irish speakers as a percentage of total","2022","Male","Sligo","%","36.9"
"Irish speakers as a percentage of total","2022","Male","Cavan","%","31.6"
"Irish speakers as a percentage of total","2022","Male","Donegal","%","35.1"
"Irish speakers as a percentage of total","2022","Male","Monaghan","%","34.9"
"Irish speakers as a percentage of total","2022","Female","State","%","43.8"
"Irish speakers as a percentage of total","2022","Female","Carlow","%","42.7"
"Irish speakers as a percentage of total","2022","Female","Dublin City","%","35.3"
