ed_name,county,all_irish_speakers,never_speaks_irish_outside_education_only,not_stated,speaks_irish_daily,speaks_irish_daily_education_only,speaks_irish_less_often,speaks_irish_weekly,share_daily_of_all,share_daily_education_only_of_all,share_weekly_of_all,share_less_often_of_all,share_never_outside_education_only_of_all,share_not_stated_of_all,share_daily_any_of_all
An Cheathrú Chaol,Dún na nGall,300,59,10,10,85,106,30,0.03333333333333333,0.2833333333333333,0.1,0.35333333333333333,0.19666666666666666,0.03333333333333333,0.31666666666666665
An Chorr,Gaillimh,86,10,4,12,14,32,14,0.13953488372093023,0.16279069767441862,0.16279069767441862,0.37209302325581395,0.11627906976744186,0.046511627906976744,0.3023255813953488
An Clochán,Ciarraí,190,8,4,66,35,52,25,0.3473684210526316,0.18421052631578946,0.13157894736842105,0.2736842105263158,0.042105263157894736,0.021052631578947368,0.531578947368421
An Clochán,Dún na nGall,531,43,9,115,163,134,67,0.21657250470809794,0.3069679849340866,0.12617702448210924,0.2523540489642185,0.08097928436911488,0.01694915254237288,0.5235404896421846
An Clochán Liath,Dún na nGall,891,126,27,87,210,351,90,0.09764309764309764,0.2356902356902357,0.10101010101010101,0.3939393939393939,0.1414141414141414,0.030303030303030304,0.3333333333333333
An Cnoc Buí,Gaillimh,688,4,33,439,121,46,45,0.6380813953488372,0.17587209302325582,0.06540697674418605,0.06686046511627906,0.005813953488372093,0.04796511627906977,0.813953488372093
An Craoslach,Dún na nGall,274,48,8,34,67,90,27,0.12408759124087591,0.24452554744525548,0.09854014598540146,0.3284671532846715,0.17518248175182483,0.029197080291970802,0.3686131386861314
An Crompán,Gaillimh,2227,6,94,1542,408,72,105,0.6924113156713066,0.183206106870229,0.04714863044454423,0.032330489447687474,0.002694207453973956,0.042209250112258644,0.8756174225415357
An Dúchoraidh,Dún na nGall,45,2,2,7,2,22,10,0.15555555555555556,0.044444444444444446,0.2222222222222222,0.4888888888888889,0.044444444444444446,0.044444444444444446,0.2
An Fhairche,Gaillimh,630,80,15,63,173,227,72,0.1,0.2746031746031746,0.11428571428571428,0.3603174603174603,0.12698412698412698,0.023809523809523808,0.3746031746031746
An Geata Mór Theas,Mayo,606,42,11,165,134,174,80,0.2722772277227723,0.22112211221122113,0.132013201320132,0.2871287128712871,0.06930693069306931,0.018151815181518153,0.4933993399339934
An Geata Mór Thuaidh,Mayo,554,81,15,37,182,201,38,0.06678700361010831,0.3285198555956679,0.06859205776173286,0.3628158844765343,0.14620938628158844,0.02707581227436823,0.3953068592057762
An Ghrafaidh,Dún na nGall,105,8,5,39,20,21,12,0.37142857142857144,0.19047619047619047,0.11428571428571428,0.2,0.0761904761904762,0.047619047619047616,0.5619047619047619
